Name,Sex,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Wilks,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetName
Gemma Lucas,F,Raw,35,35-39,F_O_R_ABPU,61,67.5,70,40,100,210,2,231.16,361.3,Yes,England,BPU,11/11/2017,England,Northern Qualifiers
Geni Devonish,F,Raw,43,40-44,F_M1_R_ABPU,86.5,90,115,75,145,335,1,294.55,507.25,Yes,England,BPU,11/11/2017,England,Northern Qualifiers
Laura Smith #1,F,Raw,36,35-39,F_O_R_ABPU,66.9,67.5,110,62.5,145,317.5,1,326.14,533.5,Yes,UK,BPU,11/11/2017,England,Northern Qualifiers
Lucinda Stansfield,F,Raw,28,24-34,F_O_CR_ABPU,66,67.5,122.5,55,120,297.5,1,308.62,502.11,Yes,UK,BPU,11/11/2017,England,Northern Qualifiers
Nathan Wysocki,M,Raw,23,20-23,M_O_R_ABPU,106.8,110,220,132.5,257.5,610,1,362.39,516.41,Yes,UK,BPU,11/11/2017,England,Northern Qualifiers
Nicola Carthy,F,Raw,37,35-39,F_O_R_ABPU,80.5,82.5,100,70,157.5,327.5,1,298.63,509.85,Yes,UK,BPU,11/11/2017,England,Northern Qualifiers
Samantha Vickers,F,Raw,31,24-34,F_O_R_ABPU,69.9,75,112.5,67.5,142.5,322.5,1,321.15,531.84,Yes,UK,BPU,11/11/2017,England,Northern Qualifiers
Valerie Tinker,F,Raw,57,55-59,F_M4_R_ABPU,74.4,75,55,50,115,220,1,210.2,352.68,Yes,England,BPU,11/11/2017,England,Northern Qualifiers
Yvette Wilmot,F,Raw,35,35-39,F_O_R_ABPU,59.5,60,72.5,50,125,247.5,1,277.73,433.99,Yes,UK,BPU,11/11/2017,England,Northern Qualifiers
Cerys Walker,F,Raw,,,F_O_R_ABPU,59.6,60,100,45,135,280,2,313.79,493.53,Yes,England,BPU,10/04/2016,England,South Coast Qualifier
Charlotte McIntyre,F,Raw,,20-23,F_J_R_ABPU,72.1,75,100,55,145,300,1,292.54,487.94,Yes,England,BPU,10/04/2016,England,South Coast Qualifier
Karl Nash,M,Raw,21.5,20-23,M_J_R_ABPU,87.5,90,135,100,200,435,1,281.82,393.9,Yes,England,BPU,10/04/2016,England,South Coast Qualifier
Kelly Mathews,F,Raw,34.5,24-34,F_O_R_ABPU,71.5,75,70,57.5,120,247.5,1,242.7,402.95,Yes,England,BPU,10/04/2016,England,South Coast Qualifier
Adam Gasson,M,Raw,38,35-39,M_O_R_ABPU,86,90,200,132.5,230,562.5,1,367.89,540.52,Yes,England,BPU,06/10/2018,England,South Wales Qualifier
Aled Hopkins,M,Raw,,20-23,M_J_R_ABPU,73.6,75,190,110,230,530,1,382.71,564.07,Yes,England,BPU,07/05/2016,England,North West Qualifier
Alexandra Foster,F,Raw,24.5,24-34,F_O_R_ABPU,73,75,115,55,155,325,1,314.34,526.28,Yes,England,BPU,07/05/2016,England,North West Qualifier
Learna Lee,F,Raw,30,24-34,F_O_R_ABPU,89.5,90,132.5,80,150,362.5,1,313.95,541.13,Yes,UK,BPU,07/05/2016,England,North West Qualifier
