Name,Sex,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Wilks,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetName
Steve Walker,M,Raw,,,M-C-Open,73.9,74,110,110,110,330,3,237.6,318.12,Yes,UK,EPA,29/01/2017,England,East Midlands Men's Classic Championships
Andy Champ,M,Raw,33.5,24-34,M-C-Open,90.5,93,215,165.5,265,645.5,2,410.93,611.8,Yes,UK,EPA,29/01/2017,England,East Midlands Men's Classic Championships
James Blundell,M,Raw,,,M-C-Open,92.9,93,225,160,250,635,3,399.1,590.34,Yes,England,EPA,29/01/2017,England,East Midlands Men's Classic Championships
Daniel Lindsell,M,Raw,30.5,24-34,M-C-Open,118.5,120,262.5,200,290,752.5,1,433.92,618.54,Yes,UK,EPA,29/01/2017,England,East Midlands Men's Classic Championships
Jared Holmes,M,Raw,,,M-C-Open,113.8,120,240,180,280,700,2,407.89,582.9,Yes,UK,EPA,29/01/2017,England,East Midlands Men's Classic Championships
Baruch Sekenofsky,M,Raw,23.5,24-34,M-C-G,118.2,120,315,195,325,835,G,481.79,696.62,Yes,UK,EPA,29/01/2017,England,East Midlands Men's Classic Championships
Catherine Smith,F,Raw,21.5,20-23,F-C-Open,54.7,57,120,60,160,340,1,407.48,630.96,Yes,UK,EPA,21/10/2017,England,South Midlands Bitesize 5
Galit Goldshmid,F,Raw,40,40-44,F-C-Open,62.6,63,100,77.5,130,307.5,5,331.84,531.86,Yes,UK,EPA,21/10/2017,England,South Midlands Bitesize 5
Tessa Hart,F,Raw,28.5,24-34,F-C-Open,51.6,52,93,57.5,126,276.5,1,346.75,522.35,Yes,UK,EPA,01/03/2015,England,North West Team Challenge
Chelsey Logue,F,Raw,23.5,24-34,F-C-Open,84,84,120,70,170,360,1,321.03,550.71,Yes,UK,EPA,01/03/2015,England,North West Team Challenge
Jamila Digankar,F,Raw,16.5,16-17,F-C-Open,44.6,47,57.5,25,62.5,145,1,202.32,269.15,Yes,UK,EPA,01/03/2015,England,North West Team Challenge
Stephen Manuel,M,Raw,,,M-C-Open,102.8,105,280,180,310,770,1,463.65,689.55,Yes,UK,EPA,01/03/2015,England,North West Team Challenge
Tom Martin #1,M,Raw,27,24-34,M-C-G,93.8,105,245,160,300,705,G,441.1,660.69,Yes,UK,EPA,01/03/2015,England,North West Team Challenge
Adil Khan,M,Raw,21.5,20-23,M-C-Open,73.8,74,187.5,140,250,577.5,1,416.2,620.98,Yes,UK,EPA,01/03/2015,England,North West Team Challenge
Chris Graham,M,Raw,,,M-C-Open,96.2,105,220,142.5,305,667.5,2,412.89,611.16,Yes,England,EPA,01/03/2015,England,North West Team Challenge
Owen Lockwood,M,Raw,22.5,20-23,M-C-Open,78.2,83,192.5,125,240,557.5,1,386.21,571.84,Yes,England,EPA,01/03/2015,England,North West Team Challenge
Ewan Cunliffe,M,Raw,,,M-C-Open,96.6,105,180,135,212.5,527.5,7,325.7,463.95,Yes,England,EPA,01/03/2015,England,North West Team Challenge
Connor Burkhill,M,Raw,,,M-C-Open,65,66,125,105,150,380,1,302.18,421.3,Yes,England,EPA,01/03/2015,England,North West Team Challenge
Louise Wicks,F,Raw,49,45-49,F-C-M2,83.5,84,117.5,57.5,157.5,332.5,1,297.39,510.3,Yes,UK,EPA,09/06/2018,England,Yorkshire North East Juniors & Masters Powerlifting Championships
David Carter #2,M,Raw,54.5,50-54,M-C-M2,99.25,105,220,142.5,270,632.5,1,386.1,563.47,Yes,UK,EPA,09/06/2018,England,Yorkshire North East Juniors & Masters Powerlifting Championships
Moa Wikner,F,Raw,21.5,20-23,F-C-Open,55.1,57,117.5,67.5,135,320,1,381.33,589.78,Yes,UK,EPA,07/08/2017,England,GL Divisional August
Michela Garau,F,Raw,27.5,24-34,F-C-Open,55.1,57,115,65,137.5,317.5,2,378.35,584.93,Yes,UK,EPA,07/08/2017,England,GL Divisional August
Diane Stockwell,F,Raw,49,45-49,F-C-Open,62.1,63,105,60,117.5,282.5,3,306.73,488.95,Yes,UK,EPA,07/08/2017,England,GL Divisional August
Alan Joseph,M,Raw,51.5,50-54,M-C-Open,82.6,83,192.5,122.5,240,555,3,371.53,547.24,Yes,UK,EPA,07/08/2017,England,GL Divisional August
Thomas Celestin,M,Raw,,,M-C-Open,102.4,105,247.5,127.5,305,680,1,410.05,600.49,Yes,England,EPA,07/08/2017,England,GL Divisional August
Sarah Butcher,F,Raw,61.5,60-64,F-C-M3,55.5,57,72.5,40,100,212.5,1,251.79,380.21,Yes,UK,EPA,12/08/2017,UK,East Midlands Master Juniors & Novices
David Brown,M,Raw,,,M-C-M3,58.05,59,92.5,72.5,122.5,287.5,1,252.84,331.35,Yes,England,EPA,12/08/2017,UK,East Midlands Master Juniors & Novices
Gregory Day,M,Raw,23.5,24-34,M-C-Open,79.6,83,185,122.5,230,537.5,1,368.12,541.33,Yes,UK,EPA,12/08/2017,UK,East Midlands Master Juniors & Novices
Bradley May,M,Raw,18.5,18-19,M-C-U23,119.5,120,290,168,290,748,1,430.46,611.43,Yes,UK,EPA,17/11/2018,England,South East Open
Dan Magee,M,Raw,22.5,20-23,M-C-U23,82,83,217.5,150,237.5,605,1,406.78,607.23,Yes,UK,EPA,17/11/2018,England,South East Open
Helen Cheesworth,F,Raw,36.5,35-39,F-C-Open,75.5,84,115,55,140,310,3,293.48,495.03,Yes,UK,EPA,17/11/2018,England,South East Open
Adam Rochussen,M,Raw,20.5,20-23,M-C-Open,93.4,105,185,125,237.5,547.5,6,343.24,495.56,Yes,UK,EPA,17/11/2018,England,South East Open
Aleem Majid,M,Raw,25.5,24-34,M-C-Open,94.2,105,260,150,277.5,687.5,1,429.3,640.46,Yes,UK,EPA,17/11/2018,England,South East Open
Malcolm Bainbridge,M,Raw,73.5,70-74,M-C-M4,65.5,66,85,77.5,160,322.5,1,254.82,342.38,Yes,UK,EPA,17/11/2018,England,South East Open
Mick Ellender,M,Raw,72.5,70-74,M-C-M4,92.65,93,125,100,200,425,1,267.46,367.78,Yes,UK,EPA,17/11/2018,England,South East Open
Kevin Payne,M,Raw,,,M-C-M3,71.25,74,125,86,195,406,1,300.21,422.96,Yes,UK,EPA,17/11/2018,England,South East Open
Ben Hartley,M,Raw,15.5,16-17,M-C-U18,61.7,66,70,50,100,220,1,182.98,219.34,Yes,UK,EPA,18/04/2017,England,NM Spring Championships
Luke Dixon,M,Raw,,,M-C-Open,80.9,83,200,127.5,232.5,560,2,379.65,561.06,Yes,England,EPA,18/04/2017,England,NM Spring Championships
Thomas Gee,M,Raw,,,M-C-U23,86.6,93,190,140,255,585,1,381.14,562.87,Yes,UK,EPA,18/04/2017,England,NM Spring Championships
Aaron Thompson,M,Raw,,,M-C-Open,161,120+,330,195,337.5,862.5,1,472.4,614.85,Yes,UK,EPA,18/04/2017,England,NM Spring Championships
Linzi Waite,F,Raw,27.5,24-34,F-C-Open,51,52,85,50,97.5,232.5,1,294.21,435.58,Yes,UK,EPA,18/04/2017,England,NM Spring Championships
Amelia Maycock,F,Raw,16.5,16-17,F-C-U18,60,63,90,47.5,141,278.5,1,310.5,489.27,Yes,UK,EPA,18/04/2017,England,NM Spring Championships
Holly Bryans,F,Raw,22.5,20-23,F-C-U23,69.3,72,140,60,170,370,1,370.67,613.64,Yes,UK,EPA,18/04/2017,England,NM Spring Championships
Joy Mineo,F,Raw,49,45-49,F-C-M2,68.3,72,100,70,150,320,1,323.87,532.94,Yes,UK,EPA,18/04/2017,England,NM Spring Championships
Dave Battison,M,Raw,,,M-C-Open,94.2,100,200,142.5,235,577.5,3,360.61,524.43,Yes,UK,EPA,12/03/2006,England,East Midlands Unequipped Divisional Powerlifting Championships
Jamie Stubbs,F,Raw,31,24-34,F-C-Open,53.7,57,75,50,122.5,247.5,1,300.93,454.69,Yes,UK,EPA,17/03/2018,England,North Midlands Spring Divisional
Mariah Connor-Brown,F,Raw,17.5,18-19,F-C-U18,83.7,84,87.5,71,120,278.5,1,248.8,428.04,Yes,UK,EPA,17/03/2018,England,North Midlands Spring Divisional
Jason Talbot,M,Raw,49,45-49,M-C-M1,92.4,93,180,175,190,545,1,343.42,496.43,Yes,UK,EPA,17/03/2018,England,North Midlands Spring Divisional
Luke Dixon,M,Raw,,,M-C-Open,80.1,83,200,125,235,560,2,382.01,565.02,Yes,England,EPA,17/03/2018,England,North Midlands Spring Divisional
Tom Gee #1,M,Raw,,,M-C-Open,87.7,93,197.5,135,272.5,605,1,391.48,580.08,Yes,England,EPA,17/03/2018,England,North Midlands Spring Divisional
Thomas Brannick,M,Raw,25.5,24-34,M-C-Open,104.2,105,282.5,192.5,300,775,4,464.36,688.99,Yes,UK,EPA,17/03/2018,England,North Midlands Spring Divisional
Aaron Thompson,M,Raw,,,M-C-Open,162.2,120+,350,190,340,880,1,481.45,626.76,Yes,UK,EPA,17/03/2018,England,North Midlands Spring Divisional
Danielle Malcolm,F,Raw,26,24-34,F-C-Open,46.6,47,100,71,120,291,1,393.78,583.58,Yes,UK,EPA,02/12/2017,England,Dorset Powerlifting Championships
Lorraine Box,F,Raw,50.5,50-54,F-C-Open,51.5,52,60,45,90,195,3,244.91,357.4,Yes,UK,EPA,02/12/2017,England,Dorset Powerlifting Championships
Sophie Walker,F,Raw,25,24-34,F-C-Open,54.8,57,120,70,150,340,1,406.89,630.35,Yes,UK,EPA,02/12/2017,England,Dorset Powerlifting Championships
Abi-Louise Lane,F,Raw,14.5,13-15,F-C-Open,114,84+,95,47.5,137.5,280,2,226.03,389.58,Yes,UK,EPA,02/12/2017,England,Dorset Powerlifting Championships
Steven Varney,M,Raw,,,M-C-Open,81.2,83,225,160.5,262.5,648,1,438.31,660.86,Yes,England,EPA,02/12/2017,England,Dorset Powerlifting Championships
Richard Wheeler,M,Raw,52.5,50-54,M-C-Open,82.4,83,145,112.5,180,437.5,6,293.3,414.17,Yes,UK,EPA,02/12/2017,England,Dorset Powerlifting Championships
Luke Tolman,M,Raw,18,18-19,M-C-Open,87.6,93,242.5,190.5,267,700,1,453.23,684.99,Yes,UK,EPA,02/12/2017,England,Dorset Powerlifting Championships
Ross Watson,M,Raw,,,M-C-Open,90.5,93,145,105,207.5,457.5,5,291.25,408.94,Yes,UK,EPA,02/12/2017,England,Dorset Powerlifting Championships
Michael Walton,M,Raw,26,24-34,M-C-Open,100.5,105,232.5,135,290,657.5,2,399.36,584.53,Yes,England,EPA,02/12/2017,England,Dorset Powerlifting Championships
Matt Gibson,M,Raw,,,M-C-Open,105.8,120,255,172.5,,,DQ,,,Yes,England,EPA,02/12/2017,England,Dorset Powerlifting Championships
Owen Lockwood,M,Raw,25.5,24-34,M-C-Open,82.7,83,255,150,275,680,1,454.88,689.02,Yes,England,EPA,07/10/2018,England,The Roses Cup
Daniel Bedford,M,Raw,,,M-C-Open,91.9,93,260,170,287.5,717.5,2,453.31,682.73,Yes,UK,EPA,07/10/2018,England,The Roses Cup
Scott Bradwell,M,Raw,34.5,24-34,M-C-Open,78.4,83,210,145,237.5,592.5,6,409.77,611.95,Yes,UK,EPA,07/10/2018,England,The Roses Cup
Mariella Fisher,F,Raw,18,18-19,F-C-U23,68.2,72,155,92.5,180,427.5,1,433.12,715.64,Yes,UK,EPA,07/10/2018,England,The Roses Cup
Henry Clark,M,Raw,75.5,75-79,M-C-Open,73.5,74,120,57.5,140,317.5,6,229.49,304.23,Yes,England,EPA,22/05/2016,England,South Midlands Open
Jamie Sinclair,M,Raw,35.5,35-39,M-C-Open,82.6,83,182.5,145,217.5,545,1,364.83,535.85,Yes,England,EPA,22/05/2016,England,South Midlands Open
Keith Blacknell,M,Raw,52.5,50-54,M-C-Open,96.7,105,192.5,127.5,202.5,522.5,5,322.47,458.44,Yes,UK,EPA,22/05/2016,England,South Midlands Open
Bradley Horne #1,M,Raw,18.5,18-19,M-C-Open,118.5,120,220,170,270,660,1,380.58,532.11,Yes,UK,EPA,22/05/2016,England,South Midlands Open
Nora Jones,F,Raw,25.5,24-34,F-C-Open,46.4,47,85,55,120,260,1,352.91,517.12,Yes,UK,EPA,22/05/2016,England,South Midlands Open
Michelle Trench,F,Raw,,,F-C-Open,51.4,52,77.5,42.5,120,240,2,301.88,449.19,Yes,England,EPA,22/05/2016,England,South Midlands Open
Jodie Cook,F,Raw,27.5,24-34,F-C-G,56.7,57,120,70,140,330,G,384.52,600.3,Yes,UK,EPA,22/05/2016,England,South Midlands Open
Louise Nordén,F,Raw,24.5,24-34,F-C-G,62.7,63,110,72.5,122.5,305,G,328.74,527.02,Yes,UK,EPA,22/05/2016,England,South Midlands Open
Amy Atkinson,F,Raw,28.5,24-34,F-C-Open,68.6,72,135,90,167.5,392.5,1,396.02,654.5,Yes,UK,EPA,22/05/2016,England,South Midlands Open
Galit Goldshmid,F,Raw,39,35-39,F-C-Open,63.7,72,90,70,137.5,297.5,4,316.85,510,Yes,UK,EPA,22/05/2016,England,South Midlands Open
Charlie Shotton-Gale,F,Raw,32.5,24-34,F-C-G,83.9,84,110,90,120,320,G,285.53,490.46,Yes,UK,EPA,22/05/2016,England,South Midlands Open
Louise Dutton,F,Raw,28.5,24-34,F-C-Open,54.1,57,95,60,132.5,287.5,2,347.54,531.6,Yes,England,EPA,10/08/2013,England,All England Powerlifting Championships
Lesley Laver,F,Raw,28.5,24-34,F-C-Open,56,57,70,47.5,120,237.5,3,279.44,426.71,Yes,England,EPA,10/08/2013,England,All England Powerlifting Championships
Faye Jordan,F,Raw,30,24-34,F-C-Open,60.35,63,80,65,135,280,1,310.77,490.72,Yes,UK,EPA,10/08/2013,England,All England Powerlifting Championships
Ann Robertson,F,Raw,,,F-C-M2,64.1,72,35,37.5,90,162.5,1,172.26,270.94,Yes,England,EPA,10/08/2013,England,All England Powerlifting Championships
Helen Toms,F,Raw,48.5,45-49,F-C-M1,81.65,84,90,50,125,265,1,239.8,411.13,Yes,UK,EPA,10/08/2013,England,All England Powerlifting Championships
Charlie Shotton-Gale,F,Raw,29.5,24-34,F-C-Open,83.75,84,157.5,90,180.5,428,1,382.23,654.33,Yes,UK,EPA,10/08/2013,England,All England Powerlifting Championships
Sam Pile,M,Raw,,,M-C-U23,66,66,140,90,182.5,412.5,1,323.89,458.73,Yes,England,EPA,10/08/2013,England,All England Powerlifting Championships
Chris Simmons,M,Raw,,,M-C-Open,65.35,66,200,132.5,225,557.5,1,441.34,654.96,Yes,England,EPA,10/08/2013,England,All England Powerlifting Championships
Paul Bartlett,M,Raw,33,24-34,M-C-Open,64.7,66,172.5,105,200,477.5,2,381.18,553.29,Yes,England,EPA,10/08/2013,England,All England Powerlifting Championships
Sean Maloney,M,Raw,,,M-C-Open,65.55,66,145,95,172.5,412.5,3,325.73,461.34,Yes,England,EPA,10/08/2013,England,All England Powerlifting Championships
Steven Tyers,M,Raw,,,M-C-Open,71.85,74,202.5,127.5,245,575,1,422.53,630.36,Yes,UK,EPA,10/08/2013,England,All England Powerlifting Championships
Scott Bradwell,M,Raw,29.5,24-34,M-C-Open,73.25,74,190,137.5,210,537.5,2,389.46,575.3,Yes,UK,EPA,10/08/2013,England,All England Powerlifting Championships
Julian Fernandez,M,Raw,22.5,20-23,M-C-U23,89.65,93,220,127.5,282.5,630,1,402.99,598.77,Yes,England,EPA,10/08/2013,England,All England Powerlifting Championships
Gary Lovett,M,Raw,39.5,35-39,M-C-M1,73.6,74,120,110,185,415,1,299.67,423.26,Yes,UK,EPA,10/08/2013,England,All England Powerlifting Championships
Henry Clark,M,Raw,72.5,70-74,M-C-M4,73.5,74,125,57.5,160,342.5,1,247.56,334.86,Yes,England,EPA,10/08/2013,England,All England Powerlifting Championships
Ernie Parkes,M,Raw,70.5,70-74,M-C-M4,80.65,83,165,95,210,470,1,319.25,458.29,Yes,UK,EPA,10/08/2013,England,All England Powerlifting Championships
Adrian Phillips,M,Raw,,,M-C-M1,85.5,93,130,100,210,440,2,288.71,406.04,Yes,England,EPA,10/08/2013,England,All England Powerlifting Championships
Roy Cole,M,Raw,52,50-54,M-C-M2,92,93,200,142.5,200,542.5,1,342.57,495.19,Yes,England,EPA,10/08/2013,England,All England Powerlifting Championships
Tom Gee #1,M,Raw,,,M-C-Open,91.8,93,230,180,265,675,2,426.69,637.72,Yes,England,EPA,10/08/2013,England,All England Powerlifting Championships
Max Lloyd,M,Raw,13.5,13-15,M-C-Open,90.65,93,162.5,107.5,225,495,5,314.86,448.89,Yes,UK,EPA,10/08/2013,England,All England Powerlifting Championships
Steve Blackwell,M,Raw,,50-54,M-C-M2,101.6,105,215,155,285,655,1,396.16,578.08,Yes,England,EPA,10/08/2013,England,All England Powerlifting Championships
Matthew Ward,M,Raw,21,20-23,M-C-U23,94.1,105,160,92.5,200,452.5,1,282.7,392.86,Yes,UK,EPA,10/08/2013,England,All England Powerlifting Championships
Thomas Celestin,M,Raw,,,M-C-Open,101.7,105,225,125,305,655,1,396.01,577.73,Yes,England,EPA,10/08/2013,England,All England Powerlifting Championships
Mitchell Tutt,M,Raw,27,24-34,M-C-Open,103.15,105,195,150,255,600,3,360.83,517.53,Yes,UK,EPA,10/08/2013,England,All England Powerlifting Championships
Cameron Keyes,M,Raw,,,M-C-U18,93.5,105,162.5,95,200,457.5,1,286.67,399.88,Yes,England,EPA,10/08/2013,England,All England Powerlifting Championships
Andy Hutchings,M,Raw,37.5,35-39,M-C-Open,114.7,120,222.5,170,270,662.5,3,385.22,544.63,Yes,UK,EPA,10/08/2013,England,All England Powerlifting Championships
Louise Edwards,F,Raw,30,24-34,F-C-Open,51.3,52,75.5,47.5,131,254,1,319.97,478.12,Yes,UK,EPA,25/04/2009,England,YNE Unequipped Powerlifting Championships
Sam O'Brien,M,Raw,,,M-C-U16,67.55,75,110,85,170,365,2,281.25,388.43,Yes,England,EPA,25/04/2009,England,YNE Unequipped Powerlifting Championships
Faye Jordan,F,Raw,32,24-34,F-C-Open,56.5,57,87.5,67.5,135,290,1,338.85,525.11,Yes,UK,EPA,25/01/2015,England,East Midlands Classic
Abi Graham,F,Raw,36,35-39,F-C-Open,62.5,63,125,80,167.5,372.5,1,402.48,648.46,Yes,UK,EPA,25/01/2015,England,East Midlands Classic
Anastasia Zinchenko,F,Raw,29,24-34,F-C-Open,62.5,63,95,65,127.5,287.5,4,310.64,496.5,Yes,UK,EPA,25/01/2015,England,East Midlands Classic
Camille Holland,F,Raw,26.5,24-34,F-C-Open,108.2,84+,170,80,160,410,1,334.55,569.26,Yes,UK,EPA,25/01/2015,England,East Midlands Classic
Sean Maloney,M,Raw,,,M-C-Open,65.9,66,137.5,100,180,417.5,1,328.23,465.9,Yes,England,EPA,25/01/2015,England,East Midlands Classic
James Copping,M,Raw,27.5,24-34,M-C-Open,104.3,105,227.5,137.5,255,620,2,371.36,533.94,Yes,UK,EPA,25/01/2015,England,East Midlands Classic
Andy Hutchings,M,Raw,39.5,35-39,M-C-Open,119,120,255,177.5,287.5,720,1,414.76,586.77,Yes,UK,EPA,25/01/2015,England,East Midlands Classic
Chris Gladding,M,Raw,74,70-74,M-C-Open,118,120,165,127.5,160,452.5,5,261.2,339.11,Yes,UK,EPA,25/01/2015,England,East Midlands Classic
Mariella Fisher,F,Raw,15,13-15,F-C-Open,65.9,72,115,57.5,135,307.5,3,319.35,519.76,Yes,UK,EPA,28/11/2015,England,North West Powerlifting Championships
Kimberley Cowell,F,Raw,27,24-34,F-C-Open,65.8,72,97.5,65,142.5,305,4,317.1,515.77,Yes,UK,EPA,28/11/2015,England,North West Powerlifting Championships
Chrystal Williams,F,Raw,19.5,20-23,F-C-Open,81,84,140,75,200,415,1,377.15,643.47,Yes,UK,EPA,28/11/2015,England,North West Powerlifting Championships
Chelsey Logue,F,Raw,23.5,24-34,F-C-Open,82.6,84,142.5,75,182.5,400,2,359.76,615.38,Yes,UK,EPA,28/11/2015,England,North West Powerlifting Championships
Dean Barton,M,Raw,30.5,24-34,M-C-Open,57.5,59,135,80,180,395,1,350.53,491.27,Yes,UK,EPA,28/11/2015,England,North West Powerlifting Championships
Henry Chay,M,Raw,54,50-54,M-C-Open,62.5,66,132.5,80,180,392.5,1,322.76,452.88,Yes,UK,EPA,28/11/2015,England,North West Powerlifting Championships
David Clifford,M,Raw,50,50-54,M-C-Open,81.9,83,190,120,233,543,7,365.36,536.78,Yes,UK,EPA,28/11/2015,England,North West Powerlifting Championships
Stephen Manuel,M,Raw,,,M-C-G,106.3,120,300,195,315,810,G,481.97,715.45,Yes,UK,EPA,28/11/2015,England,North West Powerlifting Championships
Ted Moore,M,Raw,,,M-C-Open,103.7,105,175,120,230,525,6,315.11,440.76,Yes,UK,EPA,28/11/2015,England,North West Powerlifting Championships
Nick Rees,M,Raw,,,M-E-Open,88,90,195,135,271,601,4,388.19,574.37,Yes,Wales,EPA,23/04/2006,England,Anglian Open Powerlifting Championships
Holly Bryans,F,Raw,23.5,24-34,F-C-Open,71,72,170,87.5,185,442.5,1,435.97,727.2,Yes,UK,EPA,17/11/2018,England,North Midlands Four Counties Championships
Luke Dixon,M,Raw,,,M-C-Open,72.3,74,192.5,117.5,215,525,1,384.02,565.48,Yes,England,EPA,17/11/2018,England,North Midlands Four Counties Championships
Shaun Haynes,M,Raw,46.5,45-49,M-C-M1,82.7,83,220,185,220,625,1,418.09,626.44,Yes,UK,EPA,17/11/2018,England,North Midlands Four Counties Championships
Tom Gee #1,M,Raw,,,M-C-Open,84.8,93,202.5,130,260,592.5,2,390.59,579.38,Yes,England,EPA,17/11/2018,England,North Midlands Four Counties Championships
Max Dooley,M,Raw,,,M-C-Open,92,93,200,122.5,,,DQ,,,Yes,UK,EPA,17/11/2018,England,North Midlands Four Counties Championships
Shaun Bateman,M,Raw,48,45-49,M-C-Open,64.69,66,150,112.5,187.5,450,3,359.28,516.59,Yes,UK,EPA,16/04/2016,England,South West Open
Jason Coultman,M,Raw,25.5,24-34,M-C-Open,92.04,93,255,150,277.5,682.5,1,430.88,644.67,Yes,UK,EPA,16/04/2016,England,South West Open
Alex Tosh,M,Raw,,,M-C-Open,88.19,93,205,155,250,610,6,393.55,583.4,Yes,England,EPA,16/04/2016,England,South West Open
Josh Jones,M,Raw,,,M-C-Open,87.5,93,215,110,230,555,12,359.57,525.95,Yes,England,EPA,16/04/2016,England,South West Open
Keith Blacknell,M,Raw,52.5,50-54,M-C-Open,92.63,93,185,125,200,510,18,320.99,458.34,Yes,UK,EPA,16/04/2016,England,South West Open
David Murray,M,Raw,,,M-C-Open,83.37,93,180,110,192.5,482.5,23,321.22,461.61,Yes,UK,EPA,16/04/2016,England,South West Open
Philip Guise,M,Raw,,,M-C-Open,85.03,93,170,80,170,420,30,276.45,385.26,Yes,UK,EPA,16/04/2016,England,South West Open
Louise Nordén,F,Raw,24.5,24-34,F-C-Open,63.29,72,105,75,120,300,4,321.07,515.91,Yes,UK,EPA,16/04/2016,England,South West Open
Hira Teirney,F,Raw,33.5,24-34,F-C-Open,82.43,84,130,60,187.5,377.5,1,339.89,581.54,Yes,UK,EPA,16/04/2016,England,South West Open
Helen Toms,F,Raw,51.5,50-54,F-C-Open,86.31,84+,90,70,100,260,2,228.84,395.86,Yes,UK,EPA,16/04/2016,England,South West Open
Michela Garau,F,Raw,27.5,24-34,F-C-Open,55.8,57,122.5,70,140,332.5,1,392.32,610.02,Yes,UK,EPA,11/11/2017,England,GL Divisional November
Deborah Kelly,F,Raw,,,F-C-Open,55.5,57,70,50,105,225,7,266.6,404.32,Yes,UK,EPA,11/11/2017,England,GL Divisional November
Lizzy Terry,F,Raw,27,24-34,F-C-Open,96,84+,150,65,170,385,1,324.69,559.12,Yes,UK,EPA,24/03/2019,UK,Manchester & Merseyside Powerlifting Championships
Trevor Walker #1,M,Raw,71,70-74,M-C-Open,116.9,120,125,95,160,380,3,219.86,272.88,Yes,UK,EPA,11/11/2017,England,Powerpalooza Novice Competition
Lizzy Terry,F,Raw,25.5,24-34,F-C-N,93.9,84+,130,55,150,335,1,284.72,492.28,Yes,UK,EPA,11/11/2017,England,Powerpalooza Novice Competition
Vicky Ellis,F,Raw,37,35-39,F-C-N,55.6,57,50,45,132.5,227.5,3,269.19,408.82,Yes,UK,EPA,11/11/2017,England,Powerpalooza Novice Competition
Kimberley Cowell,F,Raw,29,24-34,F-C-Open,71.5,72,,85,175,,DQ,,,Yes,UK,EPA,11/11/2017,England,Powerpalooza Novice Competition
Lindsey Woodcock,F,Raw,39.5,35-39,F-C-Open,82.8,84,100,70,145,315,2,282.96,485.29,Yes,UK,EPA,11/11/2017,England,Powerpalooza Novice Competition
Steve De Meis,M,Raw,58.5,55-59,M-C-G,103.6,105,130,165,200,495,G,297.21,410.99,Yes,UK,EPA,30/07/2016,England,East Midlands Masters Juniors and Novices
Sarah Butcher,F,Raw,60.5,60-64,F-C-M3,56.1,57,70,45,102.5,217.5,1,255.55,388.06,Yes,UK,EPA,30/07/2016,England,East Midlands Masters Juniors and Novices
Faye Jordan,F,Raw,34,24-34,F-C-Open,61.2,63,95,72.5,135,302.5,1,332.14,528.39,Yes,UK,EPA,09/04/2017,England,EM Anglian Open
Lucy Hart,F,Raw,21.5,20-23,F-C-U23,61.4,63,100,52.5,127.5,280,3,306.66,486.92,Yes,UK,EPA,09/04/2017,England,EM Anglian Open
Sean Maloney,M,Raw,,,M-C-Open,65.4,66,152.5,100,197.5,450,1,356.01,511.97,Yes,England,EPA,09/04/2017,England,EM Anglian Open
Andy Champ,M,Raw,33.5,24-34,M-C-Open,91,93,225,167.5,260,652.5,1,414.24,617.14,Yes,UK,EPA,09/04/2017,England,EM Anglian Open
Dave Battison,M,Raw,,,M-C-Open,92.3,100,180,135,230,545,3,343.6,496.79,Yes,UK,EPA,04/02/2007,England,East Midlands Unequipped Powerlifting Championships
Thomas Celestin,M,Raw,,,M-C-Open,104.5,110,225,160,292.5,677.5,G,405.53,590.63,Yes,England,EPA,04/02/2007,England,East Midlands Unequipped Powerlifting Championships
Chris Gladding,M,Raw,66,65-69,M-C-Open,108.1,110,150,120,150,420,1,248.53,326.59,Yes,UK,EPA,04/02/2007,England,East Midlands Unequipped Powerlifting Championships
Christie Civetta,F,Raw,22.5,20-23,F-C-Open,81.1,84,132.5,75,152.5,360,1,326.94,558.43,Yes,UK,EPA,18/10/2015,England,Devon & Cornwall Championships
Charlie Shotton-Gale,F,Raw,31.5,24-34,F-C-Open,85.2,84+,157.5,95,182.5,435,1,385.22,660.23,Yes,UK,EPA,18/10/2015,England,Devon & Cornwall Championships
Suzy Taljard,F,Raw,41,40-44,F-C-Open,82.8,84,115,62.5,145,322.5,5,289.69,496.71,Yes,England,EPA,16/02/2019,UK,Greater London February Divisional
Jurins Kengamu,M,Raw,30.5,24-34,M-C-Open,80.9,83,250,150,300,700,1,474.56,722.53,Yes,UK,EPA,16/02/2019,UK,Greater London February Divisional
Alan Joseph,M,Raw,42.5,40-44,M-C-Open,81,82.5,155,110,210,475,3,321.78,462.62,Yes,UK,EPA,26/07/2008,England,East Midlands Juniors Masters and Novices Championships
Thomas Celestin,M,Raw,,,M-C-Open,105.6,110,240,155,297.5,692.5,1,412.99,601.77,Yes,England,EPA,26/07/2008,England,East Midlands Juniors Masters and Novices Championships
Jamila Digankar,F,Raw,16.5,16-17,F-C-Open,43,47,60,27.5,70,157.5,1,225.14,302.06,Yes,UK,EPA,03/05/2015,England,Lancs & Cheshire Classic Championships
Tessa Hart,F,Raw,28.5,24-34,F-C-Open,51.4,52,97.5,59,127.5,284,1,357.23,538.65,Yes,UK,EPA,03/05/2015,England,Lancs & Cheshire Classic Championships
Stephen Manuel,M,Raw,,,M-C-Open,101.8,105,275,180,325,780,1,471.4,703.72,Yes,UK,EPA,03/05/2015,England,Lancs & Cheshire Classic Championships
